is_division,cost_codes,,,,,,,,,,
DIV. 12 - Furnishings,123530.S - Residential Casework,,,,,,,,,,
DIV. 12 - Furnishings,123570.M - Healthcare Casework and FFE,,,,,,,,,,
DIV. 12 - Furnishings,123640.S - Residential Countertops,,,,,,,,,,
DIV. 12 - Furnishings,123663.S - Window Sills,,,,,,,,,,
DIV. 12 - Furnishings,124000.M - Furnishings and Accessories,,,,,,,,,,
DIV. 12 - Furnishings,124813.M - Entrance Floor Mats and Frames,,,,,,,,,,
DIV. 12 - Furnishings,124813.S - Entrance Floor Mats and Frames,,,,,,,,,,
DIV. 12 - Furnishings,129313.M - Bike Equipment and Racks,,,,,,,,,,
DIV. 12 - Furnishings,129313.S - Bike Equipment and Racks,,,,,,,,,,
DIV. 13 - Special Constru,131100.S - Swimming Pools and Spas,,,,,,,,,,
DIV. 13 - Special Constru,131900.M - Pet Equipment,,,,,,,,,,
DIV. 13 - Special Constru,132416.S - Saunas,,,,,,,,,,
DIV. 14 - Conveying Equipm,140000.S - Conveying Equipment,,,,,,,,,,
DIV. 14 - Conveying Equipm,142000.S - Elevators,,,,,,,,,,
DIV. 14 - Conveying Equipm,144200.S - Wheelchair Lifts,,,,,,,,,,
DIV. 14 - Conveying Equipm,149182.S - Trash Chutes,,,,,,,,,,
DIV. 21 - Fire Suppression,210000.S - Fire Suppression,,,,,,,,,,
DIV. 22 - Plumbing,220000.S - Plumbing,,,,,,,,,,
DIV. 22 - Plumbing,224129.M - Shower Pans,,,,,,,,,,
"DIV. 23 - Heating, Ventila",230000.S - HVAC,,,,,,,,,,
DIV. 26 - Electrical,260000.S - Electrical,,,,,,,,,,
DIV. 27 - Communications,272000.S - Data Communications,,,,,,,,,,
DIV. 27 - Communications,274000.S - Audio Video Communications,,,,,,,,,,
DIV. 28 - Electronic Safet,281300.S - Access Control,,,,,,,,,,
DIV. 28 - Electronic Safet,283000.S - Video Surveillance,,,,,,,,,,
DIV. 28 - Electronic Safet,284600.S - Fire Detection and Alarm,,,,,,,,,,
DIV. 28 - Electronic Safet,289010.S - Radio Amplification System,,,,,,,,,,
DIV. 31 - Earthwork,310000.S - Earthwork,,,,,,,,,,
DIV. 31 - Earthwork,312113.S - Radon Mitigation,,,,,,,,,,
DIV. 31 - Earthwork,312316 - Excavation,,,,,,,,,,
